"RB","Overall","Player","Team","Bye","Yahoo","Fantrax","FFC","Sleeper","AVG"
"1","1","Christian McCaffrey","CAR","13 ","1","1","1","1","1.0"
"2","2","Dalvin Cook","MIN","7","2","2","2","2","2.0"
"3","3","Derrick Henry","TEN","13","3","3","4","3","3.3"
"4","4","Alvin Kamara","NO","6","4","4","3","4","3.7"
"5","5","Ezekiel Elliott","DAL","7","5","5","5","5","5.0"
"6","6","Nick Chubb","CLE","13","6","6","7","6","6.3"
"7","7","Aaron Jones","GB","13","7","8","6","8","7.0"
"8","9","Jonathan Taylor","IND","14","8","7","10","9","8.3"
"9","10","Saquon Barkley","NYG","10","9","9","9","7","9.0"
"10","13","Austin Ekeler","LAC","7","10","10","8","10","9.3"
"11","15","Najee Harris","PIT","7","11","11","11","11","11.0"
"12","16","Antonio Gibson","WAS","9","12","12","12","13","12.0"
"13","19","Joe Mixon","CIN","10","13","13","13","12","13.0"
"14","22","Clyde Edwards-Helaire","KC","12","14","14","14","14","14.0"
"15","29","Chris Carson","SEA","9 ","17","16","15","16","16.0"
"16","28","David Montgomery","CHI","10","18","15","16","15","16.3"
"17","33","Josh Jacobs","LV","8","19","17","18","17","18.0"
"18","35","James Robinson","JAC","7 ","23","18","17","18","19.3"
"19","37","D'Andre Swift","DET","9","21","19","19","19","19.7"
"20","38","Miles Sanders","PHI","14","20","20","20","20","20.0"
"21","49","Myles Gaskin","MIA","14","26","21","22","23","23.0"
"22","106","Mike Davis","ATL","6","27","22","21","24","23.3"
"23","48","Darrell Henderson Jr.","LAR","11","22","27","23","21","24.0"
"24","53","Kareem Hunt","CLE","13","25","23","27","22","25.0"
"25","62","Damien Harris","NE","14","28","28","24","28","26.7"
"26","61","Raheem Mostert","MIA","14 ","30","25","25","27","26.7"
"27","64","Chase Edmonds","MIA","14","29","26","29","25","28.0"
"28","65","Javonte Williams","DEN","11","34","24","28","26","28.7"
"29","68","Gus Edwards","BAL","8 ","31","31","26","29","29.3"
"30","72","Trey Sermon","SF","6","32","32","30","32","31.3"
"31","76","Melvin Gordon III","35","29","31","31","31.7"
"32","73","Ronald Jones II","KC","12","33","30","32","30","31.7"
"33","86","Leonard Fournette","TB","9","36","33","36","33","35.0"
"34","91","AJ Dillon","GB","13","37","36","34","37","35.7"
"35","89","Michael Carter","NYJ","6","42","34","33","34","36.3"
"36","93","Zack Moss","BUF","7","39","37","35","35","37.0"
"37","96","James Conner","ARI","12","38","35","39","36","37.3"
"38","108","Jamaal Williams","DET","9","43","40","37","42","40.0"
"39","105","Devin Singletary","BUF","7","45","39","38","40","40.7"
"40","104","Kenyan Drake","LV","8 ","44","38","41","38","41.0"
"41","110","David Johnson","HOU","10","41","41","43","41","41.7"
"42","115","Sony Michel","LAR","11","40","46","40","39","42.0"
"43","125","Tony Pollard","DAL","7","49","42","42","43","44.3"
"44","129","Nyheim Hines","IND","14","46","43","46","45","45.0"
"45","142","Alexander Mattison","MIN","7","56","45","45","49","48.7"
"46","211","Cam Akers","LAR","11","15","121","","91","68.0"
"47","149","James White","NE","14 ","50","47","54","51","50.3"
"48","151","J.D. McKissic","WAS","9","59","44","49","52","50.7"
"49","148","Tevin Coleman","NYJ","6","55","48","50","48","51.0"
"50","145","Rhamondre Stevenson","NE","14","51","54","48","46","51.0"
"51","159","Latavius Murray","BAL","8","53","58","47","50","52.7"
"52","153","Phillip Lindsay","MIA","14","52","64","44","44","53.3"
"53","173","Rashaad Penny","SEA","9","58","49","53","57","53.3"
"54","166","Giovani Bernard","TB","9","57","52","51","56","53.3"
"55","158","Chuba Hubbard","CAR","13","61","50","52","47","54.3"
"56","180","Marlon Mack","HOU","10","48","55","61","64","54.7"
"57","183","Mark Ingram II","NO","6","47","72","56","60","58.3"
"58","198","Ty'Son Williams","BAL","8","60","51","","54","55.5"
"59","188","Darrel Williams","KC","12","54","67","59","61","60.0"
