"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Justin Jefferson","WR","MIN","1,970","160","95.64","103","12.31","59.77%","0.64","1,455.29","1,509","8.55","9","307.90","292.46","15.40","256.40","244.64","11.80","471","4.57","308.90","295.23","13.70","257.40","247.41","10.00","23.22","0.07","1.00","2.77","165","5","10","0"
"Cooper Kupp","WR","LAR","1,563","184","120.81","138","8.49","65.66%","0.75","1,446.74","1,829","10.64","15","410.90","329.33","81.60","341.90","268.92","73.00","806","5.84","410.90","330.86","80.00","341.90","270.46","71.40","12.26","0.05","0.00","1.53","187","3","0","0"
"D.J. Moore","WR","CAR","1,627","152","96.53","85","10.70","63.51%","0.56","1,354.20","1,068","5.12","3","209.80","262.65","-52.90","167.30","214.39","-47.10","380","4.47","213.30","265.94","-52.60","170.80","217.68","-46.90","30.93","0.03","3.50","3.29","159","7","35","0"
"Tyreek Hill","WR","KC","1,617","156","100.30","110","10.37","64.30%","0.71","1,319.73","1,237","7.17","9","287.70","275.30","12.40","232.70","225.14","7.60","443","4.03","297.30","279.96","17.30","242.30","229.80","12.50","39.41","0.12","9.60","4.66","165","9","96","0"
"Davante Adams","WR","GB","1,557","162","102.95","117","9.61","63.55%","0.72","1,294.06","1,498","9.45","11","332.80","289.04","43.80","274.30","237.56","36.70","580","4.96","332.80","289.04","43.80","274.30","237.56","36.70","0.00","0.00","0.00","0.00","162","0","0","0"
"Diontae Johnson","WR","PIT","1,384","159","105.06","100","8.70","66.08%","0.63","1,266.29","1,110","7.32","8","259.00","275.58","-16.60","209.00","223.05","-14.10","502","5.02","264.30","277.81","-13.50","214.30","225.28","-11.00","21.05","0.02","5.30","2.23","164","5","53","0"
"Stefon Diggs","WR","BUF","1,709","150","90.05","94","11.39","60.04%","0.63","1,236.87","1,144","10.42","9","262.40","276.28","-13.90","215.40","231.26","-15.90","297","3.16","262.40","276.28","-13.90","215.40","231.26","-15.90","0.00","0.00","0.00","0.00","150","0","0","0"
"Keenan Allen","WR","LAC","1,262","149","98.87","100","8.47","66.36%","0.67","1,194.08","1,086","7.00","6","244.60","260.30","-15.70","194.60","210.87","-16.30","329","3.29","244.60","260.30","-15.70","194.60","210.87","-16.30","0.00","0.00","0.00","0.00","149","0","0","0"
"Marquise Brown","WR","BAL","1,562","138","87.44","88","11.32","63.36%","0.64","1,184.47","981","7.15","6","222.10","248.80","-26.70","178.10","205.08","-27.00","379","4.31","222.60","249.35","-26.80","178.60","205.63","-27.00","5.13","0.01","0.50","0.55","139","1","5","0"
"Mark Andrews","TE","BAL","1,380","138","86.77","99","10.00","62.87%","0.72","1,146.75","1,276","7.42","9","280.60","245.94","34.70","231.10","202.56","28.50","424","4.28","280.60","245.94","34.70","231.10","202.56","28.50","0.00","0.00","0.00","0.00","138","0","0","0"
